id_transacao,id_cartao,data_transacao,valor,mcc,estabelecimento,canal,pais,moeda
86,62,2026-05-03,3025.96,7011,Loja_50,PRESENCIAL,BR,BRL
87,92,2026-06-03,1909.5,7011,Loja_24,MOBILE,BR,BRL
88,185,2026-05-13,4415.23,7011,Loja_14,PRESENCIAL,BR,BRL
89,57,2026-06-24,1571.48,5411,Loja_17,MOBILE,BR,BRL
90,107,2026-06-05,4674.44,5812,Loja_13,PRESENCIAL,BR,BRL
91,63,2026-05-10,1157.79,4829,Loja_42,MOBILE,BR,BRL
92,126,2026-04-21,1694.45,7995,Loja_30,ONLINE,BR,BRL
93,36,2026-05-04,3666.53,7995,Loja_12,MOBILE,BR,BRL
94,135,2026-07-08,4951.71,5411,Loja_43,ONLINE,BR,BRL
95,162,2026-06-13,3824.05,5411,Loja_46,ONLINE,BR,BRL
96,96,2026-07-05,55.62,4829,Loja_41,MOBILE,BR,BRL
97,169,2026-05-11,4670.18,5411,Loja_1,MOBILE,BR,BRL
98,136,2026-06-07,-2762.7,4829,Loja_19,ONLINE,BR,BRL
99,111,2026-06-20,2516.06,5411,Loja_7,MOBILE,BR,BRL
100,135,2026-06-10,753.0,7011,Loja_18,PRESENCIAL,BR,BRL
101,118,2026-05-01,404.31,5812,Loja_45,ONLINE,BR,BRL
102,21,2026-04-20,1506.87,5411,Loja_6,PRESENCIAL,BR,BRL
103,15,2026-04-22,1902.53,5411,Loja_45,ONLINE,BR,BRL
104,166,2026-05-31,422.6,4829,Loja_7,MOBILE,BR,BRL
105,178,2026-05-01,4596.57,7995,Loja_18,ONLINE,BR,BRL
106,72,2026-05-04,4621.55,4829,Loja_43,ONLINE,BR,BRL
107,5,2026-06-16,904.98,4829,Loja_10,MOBILE,BR,BRL
108,77,2026-06-22,4106.3,4829,Loja_16,MOBILE,BR,BRL
109,139,2026-05-31,4174.91,7995,Loja_49,MOBILE,BR,BRL
110,186,2026-07-02,708.35,4829,Loja_48,PRESENCIAL,BR,BRL
111,20,2026-05-30,277.95,4829,Loja_50,MOBILE,BR,BRL
112,199,2026-06-01,4774.74,5411,Loja_41,PRESENCIAL,BR,BRL
113,59,2026-05-28,3919.91,4829,Loja_25,PRESENCIAL,BR,BRL
114,98,2026-07-02,936.83,4829,Loja_19,ONLINE,BR,BRL
115,40,2026-05-25,3568.41,5812,Loja_48,PRESENCIAL,BR,BRL
116,2,2026-06-03,1590.22,7995,Loja_24,PRESENCIAL,BR,BRL
117,111,2026-05-16,520.13,4829,Loja_36,MOBILE,BR,BRL
118,91,2026-05-03,2046.14,5411,Loja_39,MOBILE,BR,BRL
119,4,2026-06-05,3924.35,7995,Loja_25,ONLINE,BR,BRL
120,63,2026-04-30,3626.97,4829,Loja_11,MOBILE,BR,BRL
121,78,2026-06-08,1909.85,7995,Loja_10,ONLINE,BR,BRL
122,77,2026-05-12,844.36,5411,Loja_24,PRESENCIAL,BR,BRL
123,127,2026-04-27,4721.67,4829,Loja_13,PRESENCIAL,BR,BRL
124,102,2026-05-31,543.79,4829,Loja_25,PRESENCIAL,BR,BRL
125,167,2026-04-27,2206.71,5812,Loja_20,PRESENCIAL,BR,BRL
126,123,2026-06-02,3020.02,5812,Loja_26,PRESENCIAL,BR,BRL
127,126,2026-04-30,1464.33,5812,Loja_21,PRESENCIAL,BR,BRL
128,94,2026-06-28,1408.7,4829,Loja_13,MOBILE,BR,BRL
129,197,2026-05-03,4986.35,5411,Loja_47,PRESENCIAL,BR,BRL
130,75,2026-04-15,4715.44,5411,Loja_27,MOBILE,BR,BRL
131,62,2026-06-10,2501.52,5812,Loja_46,PRESENCIAL,BR,BRL
132,154,2026-05-12,3947.49,4829,Loja_26,MOBILE,BR,BRL
133,178,2026-05-20,2538.0,4829,Loja_3,PRESENCIAL,BR,BRL
134,153,2026-04-22,3511.16,5411,Loja_7,ONLINE,BR,BRL
135,166,2026-04-25,3291.43,5411,Loja_37,MOBILE,BR,BRL
136,193,2026-05-31,3390.58,7995,Loja_7,ONLINE,BR,BRL
137,192,2026-05-07,502.05,4829,Loja_38,MOBILE,BR,BRL
138,101,2026-05-14,2880.42,4829,Loja_45,MOBILE,BR,BRL
139,124,2026-06-29,762.22,7011,Loja_27,ONLINE,BR,BRL
140,37,2026-05-29,589.19,7011,Loja_22,PRESENCIAL,BR,BRL
141,90,2026-05-13,3923.51,5411,Loja_29,MOBILE,BR,BRL
142,77,2026-07-07,3486.85,5411,Loja_2,PRESENCIAL,BR,BRL
143,43,2026-06-11,3243.37,4829,Loja_12,MOBILE,BR,BRL
144,119,2026-06-13,809.08,7995,Loja_41,ONLINE,BR,BRL
145,102,2026-07-09,940.07,4829,Loja_13,PRESENCIAL,BR,BRL
146,181,2026-06-15,2965.09,5812,Loja_18,MOBILE,BR,BRL
147,27,2026-05-05,4045.56,5812,Loja_24,PRESENCIAL,BR,BRL
148,172,2026-05-11,993.4,4829,Loja_41,PRESENCIAL,BR,BRL
149,151,2026-06-28,2988.88,7011,Loja_23,PRESENCIAL,BR,BRL
150,181,2026-06-04,3090.64,4829,Loja_38,ONLINE,BR,BRL
151,62,2026-06-03,3363.83,5411,Loja_12,PRESENCIAL,BR,BRL
152,108,2026-04-27,3470.25,5812,Loja_37,PRESENCIAL,BR,BRL
153,138,2026-04-15,2120.96,5812,Loja_36,ONLINE,BR,BRL
154,81,2026-05-16,2453.31,4829,Loja_4,PRESENCIAL,BR,BRL
155,50,2026-05-24,4759.69,4829,Loja_33,MOBILE,BR,BRL
156,107,2026-04-13,2479.9,7995,Loja_32,ONLINE,BR,BRL
157,195,2026-06-14,422.53,7011,Loja_3,PRESENCIAL,BR,BRL
158,200,2026-05-15,1131.97,4829,Loja_48,PRESENCIAL,BR,BRL
159,30,2026-06-08,2753.13,4829,Loja_24,MOBILE,BR,BRL
160,185,2026-05-17,4114.83,4829,Loja_14,PRESENCIAL,BR,BRL
161,193,2026-06-11,521.06,7011,Loja_3,PRESENCIAL,BR,BRL
162,23,2026-05-17,1321.45,5411,Loja_50,ONLINE,BR,BRL
163,177,2026-05-29,1057.29,4829,Loja_41,PRESENCIAL,BR,BRL
164,53,2026-06-16,838.25,5411,Loja_37,PRESENCIAL,BR,BRL
165,44,2026-06-01,2666.08,7011,Loja_19,MOBILE,BR,BRL
166,174,2026-06-30,1344.04,5812,Loja_49,PRESENCIAL,BR,BRL
167,168,2026-06-26,4594.66,5812,Loja_16,ONLINE,BR,BRL
168,195,2026-04-17,3559.86,7995,Loja_32,ONLINE,BR,BRL
169,107,2026-05-25,2891.35,7995,Loja_5,MOBILE,BR,BRL
170,104,2026-05-08,3975.05,7011,Loja_45,PRESENCIAL,BR,BRL
171,149,2026-07-12,2278.93,5411,Loja_47,PRESENCIAL,BR,BRL
172,17,2026-05-05,3177.85,7995,Loja_14,PRESENCIAL,BR,BRL
173,83,2026-06-06,4125.99,7011,Loja_36,MOBILE,BR,BRL
174,88,2026-04-16,661.67,5411,Loja_3,ONLINE,BR,BRL
175,5,2026-06-27,3134.64,5812,Loja_29,PRESENCIAL,BR,BRL
176,52,2026-04-15,13.37,5812,Loja_42,PRESENCIAL,BR,BRL
177,71,2026-07-01,803.3,7011,Loja_17,ONLINE,BR,BRL
178,43,2026-07-06,1865.5,7995,Loja_41,PRESENCIAL,BR,BRL
179,110,2026-04-20,3632.68,5411,Loja_46,ONLINE,BR,BRL
180,34,2026-04-28,15.42,5812,Loja_34,MOBILE,BR,BRL
181,88,2026-06-27,-2230.88,7995,Loja_45,ONLINE,BR,BRL
182,23,2026-06-29,2393.72,5411,Loja_21,PRESENCIAL,BR,BRL
183,199,2026-06-25,4406.14,5812,Loja_5,MOBILE,BR,BRL
184,43,2026-05-17,2820.82,7011,Loja_47,ONLINE,BR,BRL
185,106,2026-04-25,3144.12,7995,Loja_14,ONLINE,BR,BRL
186,32,2026-04-28,4484.0,7995,Loja_23,PRESENCIAL,BR,BRL
187,71,2026-04-21,1579.37,5411,Loja_16,MOBILE,BR,BRL
188,73,2026-04-15,3008.99,5411,Loja_43,PRESENCIAL,BR,BRL
189,49,2026-05-23,1035.17,7011,Loja_42,ONLINE,BR,BRL
190,62,2026-05-10,3921.17,7995,Loja_8,ONLINE,BR,BRL
191,136,2026-07-11,2502.92,7011,Loja_21,ONLINE,BR,BRL
192,108,2026-05-27,1940.32,4829,Loja_44,ONLINE,BR,BRL
193,198,2026-07-03,3816.0,5411,Loja_38,ONLINE,BR,BRL
194,16,2026-05-23,78.83,4829,Loja_19,MOBILE,BR,BRL
195,109,2026-04-14,3566.02,7995,Loja_6,MOBILE,BR,BRL
196,72,2026-07-02,2687.46,7011,Loja_6,MOBILE,BR,BRL
197,40,2026-05-05,4605.42,7011,Loja_26,MOBILE,BR,BRL
198,175,2026-04-21,3175.13,5411,Loja_20,MOBILE,BR,BRL
199,62,2026-07-05,2193.06,5812,Loja_6,PRESENCIAL,BR,BRL
200,15,2026-06-03,588.77,5812,Loja_8,ONLINE,BR,BRL
201,42,2026-05-10,3542.42,7011,Loja_34,MOBILE,BR,BRL
202,43,2026-05-26,3917.11,5812,Loja_48,PRESENCIAL,BR,BRL
203,8,2026-05-31,3667.35,7995,Loja_18,MOBILE,BR,BRL
204,148,2026-04-23,328.72,5411,Loja_32,PRESENCIAL,BR,BRL
205,146,2026-06-21,2558.8,7011,Loja_11,PRESENCIAL,BR,BRL
206,173,2026-06-28,3868.91,5812,Loja_48,MOBILE,BR,BRL
207,4,2026-06-11,22.82,5411,Loja_31,PRESENCIAL,BR,BRL
208,10,2026-05-03,1921.07,7995,Loja_15,PRESENCIAL,BR,BRL
209,82,2026-06-08,1248.83,5411,Loja_37,PRESENCIAL,BR,BRL
210,14,2026-06-20,605.81,5812,Loja_34,ONLINE,BR,BRL
211,120,2026-06-06,4770.86,7011,Loja_21,ONLINE,BR,BRL
212,52,2026-06-05,-2769.93,4829,Loja_20,MOBILE,BR,BRL
213,152,2026-05-10,3117.36,5812,Loja_47,MOBILE,BR,BRL
214,2,2026-05-21,3804.81,5411,Loja_15,MOBILE,BR,BRL
215,3,2026-05-31,1738.65,5411,Loja_49,MOBILE,BR,BRL
216,79,2026-06-29,1887.61,5812,Loja_34,ONLINE,BR,BRL
217,37,2026-06-07,2104.88,5411,Loja_3,ONLINE,BR,BRL
218,180,2026-05-26,4487.46,7995,Loja_48,ONLINE,BR,BRL
219,164,2026-05-23,2908.05,5411,Loja_38,MOBILE,BR,BRL
220,34,2026-06-12,320.79,7011,Loja_17,PRESENCIAL,BR,BRL
221,189,2026-06-01,4630.95,7011,Loja_29,PRESENCIAL,BR,BRL
222,35,2026-04-29,1175.72,5411,Loja_10,ONLINE,BR,BRL
223,105,2026-06-27,830.23,4829,Loja_23,ONLINE,BR,BRL
224,31,2026-07-01,2265.07,5812,Loja_44,PRESENCIAL,BR,BRL
225,11,2026-06-15,4133.67,7011,Loja_10,ONLINE,BR,BRL
226,102,2026-05-08,3558.68,5411,Loja_44,PRESENCIAL,BR,BRL
227,8,2026-05-22,1308.23,7995,Loja_36,MOBILE,BR,BRL
228,27,2026-06-25,2755.1,5411,Loja_1,ONLINE,BR,BRL
229,34,2026-06-17,4153.56,7995,Loja_24,MOBILE,BR,BRL
230,150,2026-04-28,3155.18,7011,Loja_5,ONLINE,BR,BRL
231,166,2026-05-17,4985.84,5812,Loja_6,PRESENCIAL,BR,BRL
232,13,2026-06-21,621.41,4829,Loja_28,MOBILE,BR,BRL
233,175,2026-05-19,1981.04,5812,Loja_23,ONLINE,BR,BRL
234,115,2026-06-23,4542.44,5411,Loja_40,MOBILE,BR,BRL
235,128,2026-05-21,3088.72,4829,Loja_31,ONLINE,BR,BRL
236,108,2026-06-17,447.73,4829,Loja_16,MOBILE,BR,BRL
237,5,2026-05-25,4970.5,7011,Loja_31,MOBILE,BR,BRL
238,145,2026-05-09,3909.36,7011,Loja_25,PRESENCIAL,BR,BRL
239,57,2026-07-09,907.28,7011,Loja_4,PRESENCIAL,BR,BRL
240,60,2026-06-22,2651.87,5411,Loja_16,MOBILE,BR,BRL
241,189,2026-07-05,1213.35,5812,Loja_37,PRESENCIAL,BR,BRL
242,45,2026-06-20,1780.48,5812,Loja_38,PRESENCIAL,BR,BRL
243,152,2026-07-09,4032.99,7011,Loja_37,MOBILE,BR,BRL
244,127,2026-05-04,719.09,7011,Loja_12,PRESENCIAL,BR,BRL
245,155,2026-06-14,199.44,5411,Loja_34,PRESENCIAL,BR,BRL
246,52,2026-06-26,13.41,7011,Loja_46,ONLINE,BR,BRL
247,83,2026-07-05,4594.72,5411,Loja_10,MOBILE,BR,BRL
248,29,2026-05-06,3526.43,7011,Loja_5,PRESENCIAL,BR,BRL
249,151,2026-06-30,3525.64,7011,Loja_20,PRESENCIAL,BR,BRL
250,112,2026-04-22,690.89,7995,Loja_42,PRESENCIAL,BR,BRL
251,178,2026-04-25,879.27,7011,Loja_15,MOBILE,BR,BRL
252,79,2026-04-15,2948.86,7011,Loja_9,ONLINE,BR,BRL
253,147,2026-05-23,3646.87,4829,Loja_3,ONLINE,BR,BRL
254,157,2026-06-14,3015.92,4829,Loja_7,PRESENCIAL,BR,BRL
255,61,2026-05-29,711.81,7011,Loja_11,MOBILE,BR,BRL
256,182,2026-04-18,4427.75,7011,Loja_29,ONLINE,BR,BRL
257,18,2026-05-29,1333.41,7011,Loja_7,MOBILE,BR,BRL
258,188,2026-05-20,16.39,5812,Loja_27,PRESENCIAL,BR,BRL
259,97,2026-06-30,4410.04,7995,Loja_37,MOBILE,BR,BRL
260,116,2026-07-03,3793.64,5411,Loja_19,ONLINE,BR,BRL
261,19,2026-05-30,1600.4,5812,Loja_25,ONLINE,BR,BRL
262,24,2026-05-30,3662.61,4829,Loja_40,PRESENCIAL,BR,BRL
263,168,2026-06-21,3525.48,4829,Loja_28,ONLINE,BR,BRL
264,49,2026-05-21,277.24,4829,Loja_47,MOBILE,BR,BRL
265,77,2026-06-12,2705.23,5411,Loja_4,PRESENCIAL,BR,BRL
266,40,2026-07-06,2863.13,7011,Loja_1,PRESENCIAL,BR,BRL
267,161,2026-04-27,447.27,7995,Loja_13,ONLINE,BR,BRL
268,75,2026-07-02,138.42,7995,Loja_8,PRESENCIAL,BR,BRL
269,170,2026-06-09,3926.53,5411,Loja_42,MOBILE,BR,BRL
270,98,2026-05-26,1943.76,5812,Loja_29,ONLINE,BR,BRL
271,58,2026-06-08,1323.85,4829,Loja_4,ONLINE,BR,BRL
272,22,2026-04-18,3763.65,7011,Loja_35,PRESENCIAL,BR,BRL
273,142,2026-07-05,4853.82,7995,Loja_34,PRESENCIAL,BR,BRL
274,122,2026-04-30,4828.48,5812,Loja_31,PRESENCIAL,BR,BRL
275,183,2026-07-08,403.99,4829,Loja_37,MOBILE,BR,BRL
276,159,2026-06-24,4004.25,5411,Loja_49,PRESENCIAL,BR,BRL
277,55,2026-06-18,872.67,5812,Loja_3,PRESENCIAL,BR,BRL
278,52,2026-04-23,401.06,5812,Loja_39,PRESENCIAL,BR,BRL
279,18,2026-07-01,1605.55,7995,Loja_36,PRESENCIAL,BR,BRL
280,134,2026-05-15,2764.75,5411,Loja_45,MOBILE,BR,BRL
281,29,2026-05-20,2942.0,5812,Loja_10,MOBILE,BR,BRL
282,26,2026-06-29,2943.79,4829,Loja_50,ONLINE,BR,BRL
283,89,2026-05-21,3930.87,7011,Loja_25,MOBILE,BR,BRL
284,10,2026-06-20,2433.07,7011,Loja_26,ONLINE,BR,BRL
285,103,2026-07-08,3095.04,7995,Loja_22,MOBILE,BR,BRL
286,69,2026-05-26,1195.52,5411,Loja_22,PRESENCIAL,BR,BRL
287,179,2026-04-16,1561.64,5411,Loja_15,ONLINE,BR,BRL
288,199,2026-06-01,1509.4,7011,Loja_47,PRESENCIAL,BR,BRL
289,114,2026-06-15,3028.85,7995,Loja_48,PRESENCIAL,BR,BRL
290,15,2026-05-08,3799.87,5812,Loja_5,PRESENCIAL,BR,BRL
291,200,2026-05-06,3550.75,4829,Loja_2,ONLINE,BR,BRL
292,15,2026-06-11,971.89,5411,Loja_30,ONLINE,BR,BRL
293,71,2026-05-26,4590.98,7995,Loja_33,PRESENCIAL,BR,BRL
294,8,2026-06-12,3180.69,7011,Loja_32,MOBILE,BR,BRL
295,122,2026-04-28,2236.06,4829,Loja_23,PRESENCIAL,BR,BRL
296,192,2026-04-15,825.93,5411,Loja_19,ONLINE,BR,BRL
297,147,2026-06-15,1938.96,5812,Loja_42,ONLINE,BR,BRL
298,105,2026-05-08,3391.7,5411,Loja_50,MOBILE,BR,BRL
299,166,2026-06-20,54.4,4829,Loja_1,ONLINE,BR,BRL
300,79,2026-04-13,1269.43,7011,Loja_28,PRESENCIAL,BR,BRL
301,56,2026-05-14,4259.42,7011,Loja_44,MOBILE,BR,BRL
302,27,2026-07-12,4123.31,4829,Loja_43,PRESENCIAL,BR,BRL
303,73,2026-06-04,2811.67,5411,Loja_31,ONLINE,BR,BRL
304,84,2026-06-07,1688.06,7011,Loja_42,MOBILE,BR,BRL
305,49,2026-06-23,4761.42,4829,Loja_49,ONLINE,BR,BRL
306,154,2026-05-22,4499.44,7011,Loja_44,ONLINE,BR,BRL
307,76,2026-06-09,3609.2,7995,Loja_26,PRESENCIAL,BR,BRL
308,147,2026-06-18,3686.29,7011,Loja_47,MOBILE,BR,BRL
309,122,2026-04-18,1119.59,7011,Loja_33,PRESENCIAL,BR,BRL
310,143,2026-06-19,4228.64,7011,Loja_7,PRESENCIAL,BR,BRL
311,144,2026-06-19,648.44,7011,Loja_42,ONLINE,BR,BRL
312,79,2026-05-20,1119.05,7011,Loja_24,PRESENCIAL,BR,BRL
313,31,2026-05-13,2932.0,5411,Loja_41,MOBILE,BR,BRL
314,121,2026-06-18,2905.76,4829,Loja_8,MOBILE,BR,BRL
315,14,2026-06-23,1914.53,5812,Loja_13,PRESENCIAL,BR,BRL
316,118,2026-06-24,2051.87,7011,Loja_46,ONLINE,BR,BRL
317,162,2026-06-20,3896.92,7011,Loja_41,ONLINE,BR,BRL
318,195,2026-06-21,33.52,4829,Loja_49,ONLINE,BR,BRL
319,23,2026-06-26,2452.99,4829,Loja_28,MOBILE,BR,BRL
320,123,2026-05-24,2152.75,5411,Loja_3,MOBILE,BR,BRL
321,4,2026-06-01,1005.08,4829,Loja_13,ONLINE,BR,BRL
322,64,2026-06-14,3386.97,7011,Loja_20,ONLINE,BR,BRL
323,79,2026-06-21,522.51,5411,Loja_3,PRESENCIAL,BR,BRL
324,134,2026-04-27,4742.83,4829,Loja_22,PRESENCIAL,BR,BRL
325,88,2026-05-11,4440.99,7011,Loja_49,ONLINE,BR,BRL
326,104,2026-07-10,832.77,5812,Loja_15,MOBILE,BR,BRL
327,6,2026-04-28,4924.55,4829,Loja_11,ONLINE,BR,BRL
328,10,2026-05-25,1839.29,7011,Loja_50,MOBILE,BR,BRL
329,13,2026-04-19,3119.44,5411,Loja_42,ONLINE,BR,BRL
330,114,2026-05-25,250.69,5411,Loja_36,PRESENCIAL,BR,BRL
331,178,2026-04-16,2377.24,5411,Loja_20,PRESENCIAL,BR,BRL
332,70,2026-04-24,3311.71,4829,Loja_45,ONLINE,BR,BRL
333,131,2026-04-24,2099.94,5411,Loja_19,ONLINE,BR,BRL
334,156,2026-06-17,3925.95,7011,Loja_34,ONLINE,BR,BRL
335,42,2026-07-07,1796.03,4829,Loja_32,ONLINE,BR,BRL
336,61,2026-07-12,3444.14,5411,Loja_43,ONLINE,BR,BRL
337,172,2026-05-10,4535.33,5812,Loja_6,MOBILE,BR,BRL
338,66,2026-04-21,384.49,5812,Loja_30,PRESENCIAL,BR,BRL
339,45,2026-07-07,1327.98,7011,Loja_24,MOBILE,BR,BRL
340,25,2026-07-07,1570.41,5411,Loja_9,MOBILE,BR,BRL
341,113,2026-04-24,3239.52,7011,Loja_47,ONLINE,BR,BRL
342,30,2026-05-22,1869.38,7995,Loja_30,PRESENCIAL,BR,BRL
343,123,2026-05-20,4180.18,5812,Loja_8,ONLINE,BR,BRL
344,41,2026-06-29,3483.89,7995,Loja_38,PRESENCIAL,BR,BRL
345,47,2026-04-25,4013.3,7995,Loja_50,PRESENCIAL,BR,BRL
346,187,2026-06-26,3060.68,7995,Loja_32,ONLINE,BR,BRL
347,17,2026-06-09,4439.09,7011,Loja_1,MOBILE,BR,BRL
348,191,2026-04-30,4342.98,4829,Loja_15,MOBILE,BR,BRL
349,177,2026-04-14,4366.99,4829,Loja_7,PRESENCIAL,BR,BRL
350,89,2026-04-19,3311.95,7995,Loja_10,MOBILE,BR,BRL
351,3,2026-04-21,4461.39,5812,Loja_33,PRESENCIAL,BR,BRL
352,20,2026-05-11,4260.84,7011,Loja_16,PRESENCIAL,BR,BRL
353,58,2026-05-03,4851.02,7995,Loja_26,ONLINE,BR,BRL
354,147,2026-05-16,403.36,5411,Loja_32,PRESENCIAL,BR,BRL
355,191,2026-04-20,1587.15,5411,Loja_7,PRESENCIAL,BR,BRL
356,1,2026-07-01,2067.57,4829,Loja_40,MOBILE,BR,BRL
357,53,2026-04-20,1529.94,7995,Loja_22,PRESENCIAL,BR,BRL
